Id,C_Dealer,C_Freight,C_Volume,C_BaseBoat,C_Engine,C_Series,C_Options,C_Prep,C_DealerName,C_DealerId,C_Enabled
f2c434f5-e735-4257-b0df-b2c300fd83ac,ca6ff878-c49a-47ab-a7cc-b24901546e3c,1000,37,37,37,L,37,1000,ARIZONA WATERSPORTS,16800,false
8e82bf99-5519-42f5-8d22-b2c300fd83ad,99937bb6-4a7e-48a9-81cc-b24901546f39,1000,37,37,37,L,37,1000,MARK P HANAFIN INC.,176600,false
e3ad4059-3217-4476-9d11-b2c300fd83ad,4d543842-d91b-4ec0-b4d1-b24901546e72,1000,37,37,37,L,37,1000,GREENLEE CAMPGROUND RV & MARINE LLC,167000,false
a64befe7-0801-41be-b6f9-b2c300fd83ad,0b47785a-4514-48d3-981f-b24901546ee5,1000,37,37,37,L,37,1000,BOAT MART,176440,false
a4e0f9a8-de61-4312-aecb-b2c300fd83ae,3e9e46dc-6f90-4694-a3cc-b24901546f87,1000,37,37,37,L,37,1000,HJ WATERTOYS,176492,false
8b970224-c538-4934-a80f-b2c300fd83af,9044d64e-4346-4146-9c6e-b24901546fef,1000,37,37,37,L,37,1000,HCP RECYCLING,176590,false
cd6d5d4f-5725-4834-8332-b2c300fd83b0,3083a42d-c724-4adc-bf7a-b2490154708a,1000,37,37,37,L,37,1000,HAPPY HOLIDAY TRAVEL INC.,176704,false
919a8d35-a428-4bf2-8b40-b2c300fd83b7,cd0e8c2f-4e3e-43bb-9d40-b24901547131,1000,37,37,37,L,37,1000,"**DO NOT USE**HARRIS MARINE & RV, INC.",176750,false
be4daa4c-4937-4d4b-abce-b2c300fd83b7,2acf8549-eca3-4c42-b81a-b249015470de,1000,37,37,37,L,37,1000,HAMMERTIME SPORTS INC,176500,false
835d9158-3b87-4c3e-838c-b2c300fd83b8,6ef8aafa-159f-4289-98b6-b249015471d6,1000,37,37,37,L,37,1000,"HALLS SPORT CENTER, LLC (GRAND HAVEN)",176402,false
afd23bbe-0c65-4dd9-8b27-b2c300fd83b8,080e0805-4b87-4234-b23b-b249015472b8,1000,37,37,37,L,37,1000,HARVEY MARINE INC,176808,false
e8d6e3b5-f8a7-4d01-b839-b2c300fd83b8,dadb9da1-cbfb-4c67-a6c0-b24901547185,1000,37,37,37,L,37,1000,HASTINGS MARINE,176840,false
370c06bd-972a-4140-944b-b2c300fd83b9,2e161f7b-3445-4819-b5d5-b24901547379,1000,37,37,37,L,37,1000,ATLANTIC MARINE,18010,false
aef30dc9-b2f8-4f48-9aed-b2c300fd83b9,c99a4c3b-24fb-4100-8623-b24901547301,1000,37,37,37,L,37,1000,HAYES MARINE,177000,false
704c3b79-573e-48c0-826f-b2c300fd83bc,585a3c56-143b-4429-a826-b249015473f9,1000,37,37,37,L,37,1000,ASTOR MARINE,18000,false
22f58792-09b3-47fd-9dd6-b2c300fd83c1,2d79da4b-1572-496a-b4af-b24901547511,1000,37,37,37,L,37,1000,HECKEL'S MARINE AT LAKE DU BAY(Parts),180101,false
65f1ad97-5774-4eab-a2ed-b2c300fd83c1,d94697ea-604b-4b74-ba79-b249015474a4,1000,37,37,37,L,37,1000,HECKEL'S MARINE MADISON (Parts),180102,false
965f8351-dccd-4117-8cd7-b2c300fd83c2,d4514296-8362-47fc-a781-b2490154754d,1000,37,37,37,L,37,1000,ATLANTA MARINE LAKE ALLATOONA,18011,false
4df87eb3-2a0a-483c-a4f8-b2c300fd83c2,9144dd55-5536-463c-9d0a-b249015475c2,1000,37,37,37,L,37,1000,AT THE HELM,18050,false
dcb12d6a-74b2-49e0-817e-b2c300fd83c3,570e7e07-bb45-4686-a0d4-b24901547692,1000,37,37,37,L,37,1000,HIGHWAY MARINE SERVICE INC.,183993,false
c59103db-086a-4888-a6cf-b2c300fd83c3,d21a61da-2857-4cdd-bea4-b249015476cb,1000,37,37,37,L,37,1000,HILL COUNTRY BOATS LLC,183995,false
28e3d8a3-14c5-4188-872a-b2c300fd83c4,587237db-d9c5-40b6-97d6-b24901547764,1000,37,37,37,L,37,1000,HUGGINS OUTBOARD,200000,false
48dbf21d-66fb-4996-9508-b2c300fd83c4,c007e5a4-015a-45f4-85c9-b249015477a0,1000,37,37,37,L,37,1000,ACTION MARINE & POWERSPORTS LLC  (GA),2000,false
dbc6c6b6-0a42-4dcf-b55c-b2c300fd83c4,fa2636aa-27b6-4f90-9090-b2490154771c,1000,37,37,37,L,37,1000,HINKLE MARINE SALES,184500,false
9bfb06e9-eb0a-41ef-8c87-b2c300fd83c5,f53f3bb1-05f0-4767-a930-b24901547811,1000,37,37,37,L,37,1000,DBA: REEDER TRAUSCH MARINE HURLESS ANDERSON CORP.,200200,false
689ec10f-33ea-402e-bcfe-b2c300fd83c5,4eecc8b2-fdd0-4aa3-aaf8-b249015477e1,1000,37,37,37,L,37,1000,CHAD SELLERS,200,false
38692b0b-f36f-4fa3-8147-b2c300fd83c8,99482990-631d-41f1-a425-b24901547838,1000,37,37,37,L,37,1000,"ACTION MARINE & SPORT CENTER, INC. (MA)",2100,false
5e1999fd-990b-4bec-90f1-b2c300fd83ca,5de53da0-6853-4cd5-b311-b2490154788d,1000,37,37,37,L,37,1000,R.TODD MEIER,210,false
