Id,C_Dealer,C_Freight,C_Volume,C_BaseBoat,C_Engine,C_Series,C_Options,C_Prep,C_DealerName,C_DealerId,C_Enabled
c226c26e-9c92-4566-a7c0-b2c300fd874b,528739a5-3ced-44bd-9f09-b2490154d9af,0.0,10.0,37.0,37.0,M,37.0,0.0,UTAH WATER SPORTS,520400.0,False
af33fa56-4141-4c96-b699-b2c300fd874b,9b998f52-1feb-45c6-8b77-b2490154d984,0.0,10.0,37.0,37.0,M,37.0,0.0,UWHARRIE MARINE CORP,520500.0,False
bb6c4912-8cef-468c-ad9f-b2c300fd874c,a103428a-0db5-4c37-9bd3-b2490154dc0b,1000,37.0,37.0,37.0,M,37.0,1000,CEDAR LAKE MARINE,55004.0,False
1ebfab36-a9b8-4d4e-b828-b2c300fd874c,cb91415a-0503-458f-9480-b2490154dc67,1000,37.0,37.0,37.0,M,37.0,1000,CRYSTAL PIERZ MARINE,551000.0,False
93a2ba06-669f-4b88-8a08-b2c300fd874d,c564dc32-f270-471a-9ed9-b2490154dd56,1000,37.0,37.0,37.0,M,37.0,1000,PIERZ (SHAKOPEE) !!DO NOT USE!!,55100.0,False
013b58fc-77d0-4b55-9a8b-b2c300fd874d,fc1956a1-0ea5-47b1-ae8b-b2490154dcc6,1000,37.0,37.0,37.0,M,37.0,1000,VEADA,529880.0,False
9fe806d9-67fc-4bd6-89d1-b2c300fd874e,e36c61e4-4a03-42c0-b0b6-b2490154ddba,1000,37.0,37.0,37.0,M,37.0,1000,W.A. BAKER,551100.0,False
c5e478bb-281d-4e0a-a198-b2c300fd874e,57dbc34f-4f1f-4f6a-ab3e-b2490154de52,1000,37.0,37.0,37.0,M,37.0,1000,WAKESIDE MARINE,551250.0,False
b637cdea-5e5a-45cb-b8f2-b2c300fd874e,d463c93d-c678-4861-adb2-b2490154de0f,1000,37.0,37.0,37.0,M,37.0,1000,WALKERS MARINE,551150.0,False
e1b45c2d-2934-4e91-9d91-b2c300fd874f,040892e0-0c02-4826-8525-b2490154ded3,0.0,10.0,37.0,37.0,M,37.0,0.0,WATERCRAFT SALES INC,551820.0,False
aa2fff1f-25e7-4838-ad1a-b2c300fd874f,ff7bbbe6-a3a5-4e43-9f4d-b2490154de82,1000,37.0,37.0,37.0,M,37.0,1000,WATERFRONT MARINE,551999.0,False
28779f22-5f74-477f-9219-b2c300fd8750,19e9bbf4-0f35-4551-9811-b2490154defc,1000,37.0,37.0,37.0,M,37.0,1000,WALT'S BOATS & MOTORS,551540.0,False
5aa76cbc-5dc2-4d7e-b32a-b2c300fd8750,5b27c05c-68cb-4d51-bd2e-b2490154df98,1000,37.0,37.0,37.0,M,37.0,1000,WATSON'S MARINA INC,552000.0,False
4b5392d3-fccf-4ec4-bcc7-b2c300fd8750,2d1d01d2-1a5b-46e3-ab1d-b2490154df44,0.0,10.0,17.0,17.0,M,17.0,0.0,WATEREE MARINA,551900.0,False
5865c258-cf41-4d9b-af1e-b2c300fd8751,3634f997-29f6-408e-b5d2-b2490154e16a,1000,37.0,37.0,37.0,M,37.0,1000,CENTURY BOATLAND LLC,55300.0,False
eb290860-03a1-4f48-b4fd-b2c300fd8751,8d2e9f63-fdca-4ace-827c-b2490154dff3,1000,37.0,37.0,37.0,M,37.0,1000,WARDS BOAT SHOP INC,551736.0,False
ad3cae1b-9f67-461f-825a-b2c300fd8752,4019cbf8-adb2-44aa-8c90-b2490154e22a,0.0,10.0,37.0,37.0,M,37.0,0.0,WHITE'S CYCLE & MARINE,557260.0,False
2cbe24ca-2ed1-4d03-9900-b2c300fd8752,e02e495a-de43-4ba2-ad51-b2490154e1b8,1000,37.0,37.0,37.0,M,37.0,1000,ALDERMAN MARINE,555680.0,False
15bf1f2a-483a-492d-885d-b2c300fd8753,31372fb9-33f9-4c6b-a2d2-b2490154e272,1000,37.0,37.0,37.0,M,37.0,1000,WHITE SANDS MARINE,557150.0,False
