DealerID,Dealership,Q_BASE_BOAT,Q_ENGINE,Q_OPTIONS,Q_FREIGHT,Q_PREP,Q_VOL_DISC,QX_BASE_BOAT,QX_ENGINE,QX_OPTIONS,QX_FREIGHT,QX_PREP,QX_VOL_DISC,QXS_BASE_BOAT,QXS_ENGINE,QXS_OPTIONS,QXS_FREIGHT,QXS_PREP,QXS_VOL_DISC,R_BASE_BOAT,R_ENGINE,R_OPTIONS,R_FREIGHT,R_PREP,R_VOL_DISC,RX_BASE_BOAT,RX_ENGINE,RX_OPTIONS,RX_FREIGHT,RX_PREP,RX_VOL_DISC,RT_BASE_BOAT,RT_ENGINE,RT_OPTIONS,RT_FREIGHT,RT_PREP,RT_VOL_DISC,G_BASE_BOAT,G_ENGINE,G_OPTIONS,G_FREIGHT,G_PREP,G_VOL_DISC,S_BASE_BOAT,S_ENGINE,S_OPTIONS,S_FREIGHT,S_PREP,S_VOL_DISC,SX_BASE_BOAT,SX_ENGINE,SX_OPTIONS,SX_FREIGHT,SX_PREP,SX_VOL_DISC,L_BASE_BOAT,L_ENGINE,L_OPTIONS,L_FREIGHT,L_PREP,L_VOL_DISC,LX_BASE_BOAT,LX_ENGINE,LX_OPTIONS,LX_FREIGHT,LX_PREP,LX_VOL_DISC,LT_BASE_BOAT,LT_ENGINE,LT_OPTIONS,LT_FREIGHT,LT_PREP,LT_VOL_DISC,S_23_BASE_BOAT,S_23_ENGINE,S_23_OPTIONS,S_23_FREIGHT,S_23_PREP,S_23_VOL_DISC,SV_23_BASE_BOAT,SV_23_ENGINE,SV_23_OPTIONS,SV_23_FREIGHT,SV_23_PREP,SV_23_VOL_DISC,M_BASE_BOAT,M_ENGINE,M_OPTIONS,M_FREIGHT,M_PREP,M_VOL_DISC
27680,BEE'S SPORTS,10.0,0.0,0,0,0,0,10.0,0.0,0.0,0,0,0,10.0,0.0,0.0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0.0,0.0,0.0,10.0,0.0,10.0,0,0.0,0.0,10.0,0.0,10.0,0,0.0,0.0,10.0,0.0,10.0,0,0,0.0,10,0,0,0,0,0,10.0,0.0,10.0,0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
176780,BOATING INVESTMENTS INC,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,30,30,30,2200,1500,10,30,30,30,2200,1500,10,30,30,30,2200,1500,10,30,999,30,2200.0,1500.0,10.0,30.0,30.0,30.0,2200,1500.0,10.0,30.0,30.0,30.0,2200,1500.0,10.0,30.0,30.0,30.0,2200,1500,10.0,30,999,30,2200,1500,10,30.0,30.0,30.0,2200,1500.0,10.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
39590,BOATS ETC INC,25.0,25.0,25,1000,350,10,25.0,25.0,25.0,1000,350,10,25.0,25.0,25.0,1000,350,10,25,25,25,1000,350,10,25,25,25,1000,350,10,25,25,25,1000,350,10,25,25,25,1000.0,350.0,10.0,25.0,25.0,25.0,750,350.0,0.0,25.0,25.0,25.0,750,350.0,0.0,25.0,25.0,25.0,750,350,0.0,25,25,25,1000,350,10,25.0,25.0,25.0,750,350.0,0.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
42000,BRECH MARINE,8.0,0.0,1,1680,495,10,8.0,0.0,1.0,1680,495,10,8.0,0.0,1.0,1680,495,10,8,0,1,1680,495,10,8,0,1,1680,495,10,8,0,1,1680,495,10,8,0,1,1680.0,495.0,10.0,7.0,0.0,1.0,1680,495.0,0.0,7.0,0.0,1.0,1680,495.0,10.0,7.0,0.0,1.0,1680,495,10.0,8,0,1,1680,495,10,7.0,0.0,1.0,1680,495.0,10.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
51700,CAPITAL SPORTS SALES,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,22,22,22,1500,850,10,22,22,22,1500,850,10,22,22,22,1500,850,10,0,0,0,0.0,0.0,0.0,21.0,21.0,21.0,1500,850.0,10.0,21.0,21.0,21.0,1500,850.0,10.0,21.0,21.0,21.0,1500,850,10.0,0,0,0,0,0,0,21.0,21.0,21.0,1500,850.0,10.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
51740,CAPTAIN MAX KING MARINE,25.0,25.0,25,700,900,0,25.0,25.0,25.0,700,900,0,25.0,25.0,25.0,700,900,0,25,25,25,700,900,0,25,25,25,700,900,0,25,25,25,700,900,0,22,22,25,700.0,900.0,0.0,16.0,16.0,16.0,800,900.0,0.0,16.0,16.0,16.0,800,900.0,0.0,16.0,16.0,16.0,800,900,0.0,22,22,25,700,900,0,16.0,16.0,16.0,800,900.0,0.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
57800,CHANNEL MARINE LLC,23.0,23.0,23,940,1500,10,23.0,23.0,23.0,940,1500,10,23.0,23.0,23.0,940,1500,10,22,22,22,940,2100,10,22,22,22,940,2100,10,22,22,22,940,2100,10,22,22,22,940.0,1815.0,10.0,20.0,20.0,20.0,1000,1000.0,10.0,20.0,20.0,20.0,1000,1000.0,10.0,20.0,20.0,20.0,1000,1000,10.0,22,22,22,940,1815,10,20.0,20.0,20.0,1000,1000.0,10.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
58600,CHILLAX IMPORTS,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
59800,CHRISTOPHER M. FISHER,20.0,20.0,20,1000,500,6,20.0,20.0,20.0,1000,500,6,20.0,20.0,20.0,1000,500,6,20,20,20,1000,500,6,20,20,20,1000,500,6,20,20,20,1000,500,6,20,20,20,1000.0,500.0,6.0,20.0,20.0,20.0,1000,500.0,6.0,20.0,20.0,20.0,1000,500.0,6.0,20.0,20.0,20.0,1000,500,6.0,20,20,20,1000,500,6,20.0,20.0,20.0,1000,500.0,6.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
70200,"DAGATE'S MARINE, INC.",0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,10,17.0,17.0,17.0,0,0,10,37.0,37.0,37.0,0.0,0.0,10
