model_id,series,parent_series,msrp,floorplan,floorplan_desc,length,seats,visible
25QSR,Q,Q,74650,SR,Quad Bench Stern Radius,25,0,True
20SFCU,S,S,26019,FC,Fish & Cruse,20,15,True
25RSRWX1,R,R,79394,SRWX1,10' Wide Stern Radius Quad Bench with Windshield,25,16,True
22S1FC,S1,S,27769,FC,Fish & Cruse,22,15,True
26MFC,M,M,43733,FC,Fish & Cruse,26,16,True
23QXSBA,QX,Q,94778,SBA,Swingback with Arch,23,13,True
25RXSB,RX,R,84476,SB,Swingback,25,16,True
25RXSBWU,RX,R,93706,SBW,Swingback with Windshield,25,16,True
23RSBWA,R,R,54389,SBWA,Swingback with Windshield and Arch,23,13,True
188SFCU,S,S,21268,FC,Fish & Cruse,18,11,True
25RXSBU,RX,R,85948,SB,Swingback,25,16,True
25RXSBAU,RX,R,78772,SBA,Swingback with Arch,25,16,True
20S1SR,S1,S,23781,SR,Quad Bench Stern Radius,20,14,True
22SLJ,S,S,25329,LJ,J-Bench,22,13,True
25RSRA,R,R,58616,SRA,Quad Bench Stern Radius with Arch,25,17,True
23MCSB,M,M,999999,CSB,Center Swingback,23,11,True
30QFBWAX2,Q,Q,110478,FBWAX2,10' Wide Fastback with Windshield and Arch,30,18,True
30QXFBAX2,QX,Q,157012,FBAX2,10' Wide Fastback with Arch,30,19,True
30QXFBX2,QX,Q,147824,FBX2,10' Wide Fastback,30,19,True
26LXSFBC,LXS,L,52704,FBC,Fastback Center-Walkthrough,26,17,True
21MFC,M,M,999999,FC,Fish & Cruse,21,15,False
28QXFBWA,QX,Q,148866,FBWA,Fastback with Windshield and Arch,28,17,True
24MOFB,M,M,999999,OFB,Open Fastback,24,14,True
25QFBWAU,Q,Q,98365,FBWA,Fastback with Windshield and Arch,25,16,True
23RSRC,R,R,63943,SRC,Quad Bench Stern Radius Center Walkthrough,23,16,True
30QXFBWAX2,QX,Q,127727,FBWAX2,10' Wide Fastback with Windshield and Arch,30,18,True
23RXFB,RX,R,81143,FB,Fastback,23,15,True
23RSBW,R,R,69468,SBW,Swingback with Windshield,23,13,True
25QXFBWAU,QX,Q,117928,FBWA,Fastback with Windshield and Arch,25,15,True
27RFBX2,R,R,109430,FBX2,10' Wide Fastback,27,18,True
28QXFBX1,QX,Q,103045,FBX1,10' Wide Fastback,28,19,True
